ID,Smiles
ZINC01079800,Cc1c(O)ccc(C23CCCC2C2(CCCC2)c2ccc(O)c(C)c2O3)c1O
ZINC01088654,CCC(C(=O)N1CCC(Cc2ccccc2)CC1)c1ccccc1
ZINC01106706,CC(=O)Nc1ccc(S(=O)(=O)N2CC3(C)CC2CC(C)(C)C3)cc1
ZINC01114247,Cc1cc([N-]S(=O)(=O)c2ccc(NS(=O)(=O)c3ccc(Br)cc3)cc2)no1
ZINC01136582,CC1CCN(S(=O)(=O)c2cc(C(=O)Nc3ccccc3C(=O)[O-])ccc2Br)CC1
ZINC01141209,COC(=O)c1ccccc1NC(=O)COc1c(Cl)cc(Cl)c2ccccc12
ZINC01143290,Cc1cccc(C(=O)[O-])c1NC(=O)C(C)Oc1ccc(Cl)cc1Cl
ZINC01164950,O=C(CCc1ccccc1)Nc1ccc(C(=O)[O-])cc1NC(=O)CCc1ccccc1
ZINC01184006,CC(C)(C)c1ccc(C(=O)N2CCCC(c3ccccc3)C2)cc1
ZINC01188612,O=C(Nc1sc2c(c1C(=O)N1CCOCC1)CCCCC2)c1cccs1
ZINC01193359,CCN(CC)c1ccc(C[NH+]2CC3CC(C2)c2cccc(=O)n2C3)cc1
ZINC01198267,COc1ccc(-c2cc(-c3cccc(Br)c3)c(C#N)c(=O)[nH]2)cc1
ZINC01230405,CCN(CC)S(=O)(=O)c1cc(C(=O)Nc2ccccc2C)ccc1Br
ZINC01263126,Cn1c(=O)[nH]c(=O)c2c1nc(N(CCO)CCO)n2Cc1cccc2ccccc12
ZINC01271449,Cc1ccccc1Cn1c(NC2CC(C)CC(C)(C)C2)nc2c1c(=O)[nH]c(=O)n2C
ZINC01280637,COc1c(O)cc2c(=O)oc3c(OC)c(O)cc4c(=O)oc1c2c34
ZINC01319821,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
ZINC01319840,C=CC1(C)CC(=O)C2C3(C)CCCC(C)(C)C3C(O)C(OC(C)=O)C2(C)O1
ZINC01320189,COc1ccc(C2OCC3(COC(=O)c4ccccc4)C(C)C=C(C)C2C3C)cc1
ZINC01329373,CCC(C)N(Cc1ccc(Cl)cc1)S(=O)(=O)c1ccc(S(=O)(=O)NCc2ccccc2)cc1
ZINC01396526,CC(=O)Nc1ccc(NC(=O)CC2(C)C3CC4CC(C3)CC2C4)cc1
ZINC01402581,CC(C)(C)Nc1nc(N)c(C(=O)c2ccc(Cl)cc2Cl)s1
ZINC01406476,CCOC(=O)c1c(C)nn(-c2ccnc3cc(Cl)ccc23)c1C
ZINC01420561,CC[NH+](CC)CCCN(c1ccccc1)C1Cc2ccccc2C1
ZINC01441075,CC1(C(=O)c2ccccc2)C2c3c(ccc4ccccc34)OC(=O)C21C(=O)c1ccccc1
ZINC01481819,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)[O-])cc2)c1
ZINC01481831,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)[N-]c1onc(C)c1Cl)OCO2
ZINC01485983,COC(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)[O-]
ZINC01486728,COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)OC(C1CC1)C=C2
ZINC01487345,COc1ccc(CNc2nc(N(CCO)CCO)nc3c2ncn3C(C)C)cc1
ZINC01501251,COc1cccc(OC)c1C[NH+]1CCC(NC(=O)C(C)(C)C)CC1
ZINC01518440,CC1CCc2sc(NC(=O)c3cccc(C(F)(F)F)c3)c(C#N)c2C1
ZINC01530011,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
